title ,texte,texte_sans_entites,texte.1,texte_lemmatisé,texte_keyword,texte_sans_entites_keyword,texte.1_keyword,texte_lemmatisé_keyword
Loucherbem,"Un lourjingue vers lidimège sur la lateformeplic arrière d'un lobustotem, je gaffe un lypètinge avec un long
loukem et un lapeauchard entouré d'un lalongif au lieu de lubanrogue. Soudain il se met à lenlèguer son
loisinvé parce qu'il lui larchemait sur les miépouilles. Mais pas lavèbre il se trissa vers une lacepème
lidévée.
Plus tard je le gaffe devant la laregame Laintsoin Lazarelouille avec un lypetogue dans son lenregome qui
lui donnait des lonseilcons à propos d'un loutonbé.
","Un lourjingue vers lidimège sur la lateformeplic arrière d'un lobustotem, je gaffe un lypètinge avec un long
loukem et un lapeauchard entouré d'un lalongif au lieu de lubanrogue. Soudain il se met à lenlèguer son
loisinvé parce qu'il lui larchemait sur les miépouilles. Mais pas lavèbre il se trissa vers une lacepème
lidévée.
Plus tard je le gaffe devant la laregame Laintsoin Lazarelouille avec un lypetogue dans son  qui
lui donnait des lonseilcons à propos d'un loutonbé.
","lourjingue lidimège lateformeplic arrière lobustotem , gaffe lypètinge long 
 loukem lapeauchard entouré lalongif lieu lubanrogue . Soudain met lenlèguer 
 loisinvé larchemait miépouilles . lavèbre trissa lacepème 
 lidévée . 
 tard gaffe laregame Laintsoin Lazarelouille lypetogue lenregome 
 donnait lonseilcons propos loutonbé . 
","lourjingue lidimège lateformeplic arrière lobustotem , gaffe lypètinge long 
 loukem lapeauchard entourer lalongif lieu lubanrogue . soudain mettre lenlèguer 
 loisinvé larchemer miépouille . lavèbre trisser lacepèm 
 lidévé . 
 tard gaffe laregame Laintsoin lazarelouille lypetogu lenregome 
 donner lonseilcon propos loutonbé . 
",laregame laintsoin lazarelouille propos lenregome lonseilcons loutonbé gaffe lateformeplic arrière lypètinge lapeauchard lieu,propos laregame laintsoin lazarelouille lonseilcons loutonbé gaffe lateformeplic arrière lypètinge lapeauchard lieu lobustotem,gaffe laregame laintsoin lazarelouille lalongif lieu lubanrogue gaffe lonseilcons propos lypetogue lenregome arrière lobustotem lavèbre trissa loukem soudain,gaffe laregame laintsoin lazarelouille lalongif lieu lubanrogue gaffe lonseilcon propos arrière lobustotem loukem lidévé larchemer lavèbre
Javanais,"Unvin jovur vevers mividin suvur unvin vautobobuvus deveu lava livigneve essève, jeveu vapeverçuvus
unvin jeveunovomme vavecunvin lonvong couvou evet unvin chavapoveau envantouvourévé pavar uvune
fivicevelle ovau heuveu deveu ruvubanvan. Toutvoutavoucou ivil invinterverpevellava sonvon
voisouasinvin envan prévetenvandenvant quivil luivui marcharvaichait suvur leves piévieds. Ivil
avabanvandovonnava ravapivideveumenvant lava diviscuvussivion povur seveu jevetéver suvur uvune
plavaceveu livibreveu.
Deveux heuveureuves pluvus tavard jeveu leveu reveuvivis deveuvanvant lava gavare SainvingtLavazavareveu evant granvandeveu convorseversavativion avvévec uvin cavamavaravadeveu quivi luivui
divisaitvait deveu divimivinivinuvuer l'évéchanvancruvure deveu sonvon pavardeveusseuvus envan
faivaisavant revemonvontéver pavar quévelquinvun deveu comvonpévétenvant leveu bouvoutonvon
suvupévérivieur duvu pavardeveussuvus evan quiévestivion. ","Unvin jovur vevers mividin suvur unvin vautobobuvus deveu lava livigneve essève, jeveu vapeverçuvus
unvin jeveunovomme vavecunvin lonvong couvou evet unvin chavapoveau envantouvourévé pavar uvune
fivicevelle ovau heuveu deveu ruvubanvan. Toutvoutavoucou ivil invinterverpevellava sonvon
voisouasinvin envan prévetenvandenvant quivil luivui marcharvaichait suvur leves piévieds. Ivil
avabanvandovonnava ravapivideveumenvant lava diviscuvussivion povur seveu jevetéver suvur uvune
plavaceveu livibreveu.
Deveux heuveureuves pluvus tavard jeveu leveu reveuvivis deveuvanvant lava gavare SainvingtLavazavareveu evant granvandeveu convorseversavativion avvévec uvin cavamavaravadeveu quivi luivui
divisaitvait deveu divimivinivinuvuer l'évéchanvancruvure deveu sonvon pavardeveusseuvus envan
faivaisavant revemonvontéver pavar quévelquinvun deveu comvonpévétenvant leveu bouvoutonvon
suvupévérivieur  pavardeveussuvus evan quiévestivion. ","Unvin jovur vevers mividin unvin deveu livigneve essève , jeveu vapeverçuvus 
 unvin jeveunovomme vavecunvin lonvong couvou evet unvin chavapoveau envantouvourévé pavar 
 fivicevelle ovau heuveu deveu ruvubanvan . Toutvoutavoucou ivil invinterverpevellava sonvon 
 voisouasinvin prévetenvandenvant quivil luivui marcharvaichait leves piévieds . Ivil 
 avabanvandovonnava ravapivideveumenvant diviscuvussivion povur seveu jevetéver 
 plavaceveu livibreveu . 
 Deveux heuveureuves tavard jeveu leveu reveuvivis deveuvanvant lava gavare SainvingtLavazavareveu evant convorseversavativion avvévec uvin cavamavaravadeveu quivi luivui 
 divisaitvait deveu divimivinivinuvuer évéchanvancruvure deveu sonvon pavardeveusseuvus envan 
 revemonvontéver quévelquinvun deveu comvonpévétenvant leveu bouvoutonvon 
 suvupévérivieur duvu pavardeveussuvus evan quiévestivion .","Unvin jovur vever mividin unvin deveu livigneve essève , jeveu vapeverçuvu 
 unvin jeveunovomme vavecunvin lonvong couvou evet unvin chavapoveau envantouvouréver pavar 
 fivicevell ovau heuveu deveu ruvubanvan . Toutvoutavoucou ivil invinterverpevellava sonvon 
 voisouasinvin prévetenvandenver quivil luivui marcharvaicher leves piévieds . Ivil 
 avabanvandovonnava ravapivideveumenver diviscuvussivion povur seveu jevetéver 
 plavaceveu livibreveu . 
 Deveux heuveureuve tavard jeveu leveu reveuvivi deveuvanver laver gavare sainvingtlavazavareveu ever convorseversavativion avvévec uvin cavamavaravadeveu quivi luivui 
 divisaitver deveu divimivinivinuvuer évéchanvancruvure deveu sonvon pavardeveusseuvu envan 
 revemonvontéver quévelquinvun deveu comvonpévétenver leveu bouvoutonvon 
 suvupévérivieur duvu pavardeveussuvu evan quiévestivion .",min() arg is an empty sequence,min() arg is an empty sequence,min() arg is an empty sequence,unvin deveu livigneve ovau heuveu deveu vavecunvin lonvong couvou evet deveu unvin jeveunovomme prévetenvandenver quivil luivui unvin quivi luivui toutvoutavoucou ivil leveu reveuvivi
"Antonymique. 
","Minuit. Il pleut. Les autobus passent presque vides. Sur le capot d'un ai du côté de la bastille, un vieillard
qui a la tête rentrée dans les épaules et ne porte pas de chapeau remercie une dame placée très loin de
lui parce qu'elle lui caresse les mains. Puis il va se mettre debout sur les genoux d'un monsieur qui
occupe toujours sa place.
Deux heures plus tôt, derrière la gare de Lyon, ce vieillard se bouchait les oreilles pour ne pas entendre
un clochard qui se refusait à dire qu'il lui fallait descendre d'un cran le bouton inférieur de son caleçon. ","Minuit. Il pleut. Les autobus passent presque vides. Sur le capot d'un ai du côté de la bastille, un vieillard
qui a la tête rentrée dans les épaules et ne porte pas de chapeau remercie une dame placée très loin de
lui parce qu'elle lui caresse les mains. Puis il va se mettre debout sur les genoux d'un monsieur qui
occupe toujours sa place.
Deux heures plus tôt, derrière la gare de , ce vieillard se bouchait les oreilles pour ne pas entendre
un clochard qui se refusait à dire qu'il lui fallait descendre d'un cran le bouton inférieur de son caleçon. ","Minuit . pleut . autobus passent presque vides . capot côté bastille , vieillard 
 tête rentrée épaules porte chapeau remercie dame placée loin 
 caresse mains . mettre genoux monsieur 
 occupe place . 
 heures tôt , gare Lyon , vieillard bouchait oreilles entendre 
 clochard refusait fallait descendre cran bouton inférieur caleçon .","minuit . pleuvoir . autobus passer presque vide . capot côté bastille , vieillard 
 tête rentrer épaule porte chapeau remercier dame placer loin 
 caresse main . mettre genou Monsieur 
 occupe place . 
 heure tôt , gare Lyon , vieillard boucher oreille entendre 
 clochard refuser falloir descendre cran bouton inférieur caleçon .",place mains genoux monsieur heures vieillard gare lyon oreilles bastille,place mains genoux monsieur heures vieillard gare oreilles bastille ai,bouton inférieur caleçon tête rentrée capot côté gare lyon genoux monsieur clochard oreilles dame chapeau heures,vieillard boucher oreille bouton inférieur caleçon capot côté gare lyon caresse main genou monsieur clochard épaule place heure
Macaronique ,"Sol erat in regionem zenithi et calor atmospheri magnissima. Senatus populusque parisiensis sudebant.
Autobi passebant completi. In uno ex supradicti autobibus qui S denominationem portebat, hominem
quasi junum, cum collo multi elongato et cum chapito a galono tressato cerclaro vidi. Iste junior insultavit
alterum hominem qui proximus erat pietinat, inquit, pedes meos post deliberationem animae tuae. Tunc
sedem libram vidente, cucurrit la.
Sol duas horas in coelo habebat descendues, Sancti Lazari stationem ferrocaminorum passente devant,
junum supradictum cum altero ejusdem farinae qui arbiter elegantiarum erat et qui apropo uno ex boutonis
capae junioris consilium donebat vidi.","Sol erat in regionem zenithi et calor atmospheri magnissima. Senatus populusque parisiensis sudebant.
Autobi passebant completi. In uno ex supradicti autobibus qui S denominationem portebat, hominem
quasi junum, cum collo multi elongato et cum chapito a galono tressato cerclaro . Iste junior insultavit
alterum hominem qui proximus erat pietinat, inquit, pedes meos post deliberationem animae tuae. Tunc
sedem libram vidente, cucurrit la.
Sol duas horas in coelo habebat descendues, Sancti Lazari stationem ferrocaminorum passente devant,
junum supradictum cum altero ejusdem farinae qui arbiter elegantiarum erat et qui apropo uno ex boutonis
capae junioris consilium donebat .","Sol erat regionem zenithi calor atmospheri magnissima . Senatus populusque parisiensis sudebant . 
 Autobi passebant completi . ex supradicti autobibus S denominationem portebat , hominem 
 quasi junum , cum collo multi elongato chapito galono tressato cerclaro vidi . Iste junior insultavit 
 alterum hominem erat pietinat , inquit , pedes meos post deliberationem animae tuae . Tunc 
 sedem libram vidente , cucurrit . 
 Sol duas horas coelo habebat descendues , Lazari stationem ferrocaminorum passente , 
 junum supradictum altero ejusdem farinae arbiter elegantiarum erat apropo ex boutonis 
 capae junioris donebat vidi .","sol erat regionem zenithi calor atmospheri magnissima . Senatus populusqu parisiensis sudeber . 
 Autobi passebant completi . e supradicti autobibu s denominationem portebat , hominem 
 quasi junum , cum collo multi elongato chapito galono tressato cerclaro vidi . iste junior insultavit 
 alterum hominem erat pietinat , inquit , pede meo post deliberationem animae tua . Tunc 
 sedem libram vident , cucurrit . 
 sol dua hora coelo habebat descendre , Lazari stationem ferrocaminorum passent , 
 junum supradictum altero ejusdem farinae arbiter elegantiarum erat apropo e boutoni 
 capae junioris donebat vidi .",ex supradicti ex boutonis arbiter elegantiarum erat sol erat pedes meos post erat quasi junum denominationem portebat capae junioris duas horas,ex supradicti ex boutonis arbiter elegantiarum erat sol erat pedes meos post erat quasi junum denominationem portebat capae junioris duas horas,ex supradicti sol erat populusque parisiensis duas horas coelo habebat quasi junum pedes meos post denominationem portebat arbiter elegantiarum erat autobibus s hominem erat,sol dua hora meo post arbiter elegantiarum erat hominem erat quasi junum regionem zenithi galono tressato cerclaro sol iste junior stationem ferrocaminorum
"Homphonique 
","Ange ouvert m'y dit sur la pelle à deux formes d'un haut obus (est-ce?), j'à peine sus un je nomme (ô
Coulomb!) avec de l'adresse autour du chat beau. Sous daim, il entrepella son veau à zinc qui (dix hait-
il?) lui maraîcher sur l'évier ex-pré. Mais en veau (hi! han!) une pelle à ce vide ici près six bêtas à
bandeau non l'a dit ce cul: Sion.
Un peuple hue tard jeune viking par relais de vents la garce (un l'a tzar)! Un nain dit ""vi eus lu"" idoine haie
dès qu'on scelle à peu rot pot debout. Hon! ","Ange ouvert m'y dit sur la pelle à deux formes d'un haut obus (est-ce?), j'à peine sus un je nomme (ô
Coulomb) avec de l'adresse autour du chat beau. Sous daim, il entrepella son veau à zinc qui (dix hait-
il?) lui maraîcher sur l'évier ex-pré. Mais en veau (hi han) une pelle à ce vide ici près six bêtas à
bandeau non l'a dit ce cul: Sion.
Un peuple hue tard jeune viking par relais de vents la garce (un l'a tzar) Un nain dit ""vi eus lu"" idoine haie
dès qu'on scelle à peu rot pot debout. Hon ","Ange pelle formes haut obus ( ? ) , peine sus nomme ( 
 Coulomb ! ) adresse autour chat beau . daim , entrepella veau zinc ( hait- 
 ? ) maraîcher évier ex-pré . veau ( ! han ! ) pelle vide ici bêtas 
 bandeau non cul : Sion . 
 peuple tard jeune viking relais vents garce ( tzar ) ! nain "" vi eus lu "" idoine haie 
 scelle pot . Hon !","Ange pelle forme haut obu ( ? ) , peine savoir nomme ( 
 Coulomb ! ) adresse autour chat beau . daim , entrepeller veau zinc ( hait- 
 ? ) maraîcher évier ex-pré . veau ( ! han ! ) pelle vide ici bêta 
 bandeau non cul : Sion . 
 peuple tard jeune viking relais vent garce ( tzar ) ! nain "" vi avoir lire "" idoine haie 
 scelle pot . Hon !",vi eus lu idoine haie haut obus pelle évier ex-pré. veau scelle pot formes han,vi eus lu idoine haie hi han haut obus pelle pot scelle évier ex-pré. veau formes,vi eus lu pelle formes haut obus scelle pot idoine haie jeune viking relais nain pelle tzar hon veau,jeune viking relais forme haut obu ange pelle idoine haie scelle pot pelle veau nain sion peuple
"Italianismes 
","Oune giorne en pleiné merigge, ié saille sulla plataforme d'oune otobousse et là quel ouome ié vidis? ié
vidis oune djiovanouome au longué col avé de la treccie otour dou cappel. Et lé ditto djiovanouome
oltragge ouno pouovre ouome à qui il rimproveravait de lui pester les pieds et il ne lui pestarait noullément
les pieds, mais quand il vidit oune sédie vouote, il corrit por sedersilà.
À oune ouore dè l`, ié lé révidis qui ascolait les consigles d'oune bellimbouste et zerbinoote a proposto
d'oune bouttoné dé pardéssousse ","Oune giorne en pleiné merigge, ié saille sulla plataforme d'oune otobousse et là quel ouome ié vidis? ié
vidis oune djiovanouome au longué col avé de la treccie otour dou cappel. Et lé ditto djiovanouome
oltragge ouno pouovre ouome à qui il rimproveravait de lui pester les pieds et il ne lui pestarait noullément
les pieds, mais quand il vidit oune sédie vouote, il corrit por sedersilà.
À oune ouore dè l`, ié lé révidis qui ascolait les consigles d'oune bellimbouste et zerbinoote a proposto
d'oune bouttoné dé  ","Oune giorne pleiné merigge , saille sulla plataforme otobousse ouome ié vidis ? ié 
 vidis oune djiovanouome longué col avé treccie otour dou cappel . ditto djiovanouome 
 oltragge ouno pouovre ouome rimproveravait pester pieds pestarait noullément 
 pieds , vidit sédie vouote , corrit sedersilà . 
 oune ouore dè ` , ié lé révidis ascolait consigles oune bellimbouste zerbinoote proposto 
 bouttoné dé pardéssousse","Oune giorne pleiner merigge , saill sulla plataform otobouss ouome ié vidis ? ié 
 vidis oune djiovanouome longué col avé treccie otour dou cappel . ditto djiovanouome 
 oltragge ouno pouovre ouome rimproveraver pester pied pestarer noullément 
 pied , vidit sédie vouote , corrit sedersilà . 
 oune ouore dè ` , ié lé révidis ascoler consigle oune bellimboust zerbinoote proposto 
 bouttoné dé pardéssousse",min() arg is an empty sequence,min() arg is an empty sequence,min() arg is an empty sequence,min() arg is an empty sequence
Poor lay Zanglay ,"Ung joor vare meedee ger preelotobus poor la port Changparay. Eel aytay congplay, praysk. Jer mongtay
kang maym ay lar jer ay ger vee ung ohm ahvayk ung long coo ay ung chahrpo hangtooray dunn saughrt
der feessel trayssay. Sir mirssyer sir mee ang caughlayr contrer ung ingdeeveeduh kee luhee marshay
suhr lay peehay, puhee eel arlah sarsswar.
Ung per plus tarh jer ler rervee dervang lahr Garsinglahzahr ang congparhrgnee d'ung dangdee kee luhee
congsayhiay der fare rermongtay d'ung crang ler bootong der song pahrdessuh. ","Ung joor vare meedee ger preelotobus poor la port Changparay. Eel aytay congplay, praysk. Jer mongtay
kang maym ay lar jer ay ger vee ung ohm ahvayk ung long coo ay ung chahrpo hangtooray dunn saughrt
der feessel trayssay. Sir mirssyer sir mee ang caughlayr contrer ung ingdeeveeduh kee luhee marshay
suhr lay peehay, puhee eel arlah sarsswar.
Ung per plus tarh jer ler rervee dervang lahr Garsinglahzahr ang congparhrgnee d'ung dangdee kee luhee
congsayhiay der fare rermongtay d'ung crang ler bootong der song . ","Ung joor vare meedee preelotobus poor port Changparay . Eel aytay congplay , praysk . Jer mongtay 
 kang maym lar jer ay vee ung ahvayk ung long ung chahrpo hangtooray dunn saughrt 
 feessel trayssay . Sir mirssyer sir contrer ung ingdeeveeduh kee luhee marshay 
 suhr lay peehay , puhee eel arlah sarsswar . 
 Ung tarh ler rervee dervang lahr Garsinglahzahr ang congparhrgnee dangdee kee luhee 
 rermongtay ung crang ler bootong pahrdessuh .","Ung joor vare meede preelotobu poor port Changparay . Eel aytay congplay , praysk . jer mongtay 
 kang maym lar jer ay vee ung ahvayk ung long ung chahrpo hangtooray dunn saughrt 
 feessel trayssay . Sir mirssyer sir contrer ung ingdeeveeduh kee luhee marshay 
 suhr lay peehay , puhe eel arlah sarsswar . 
 Ung tarh ler rervee dervang lahr Garsinglahzahr ang congparhrgnee dangde kee luhee 
 rermongtay ung crang ler bootong pahrdessuh .",ung chahrpo hangtooray dunn saughrt ahvayk ung vee ung ung sir mirssyer sir ingdeeveeduh kee luhee dangdee kee luhee lar jer ay suhr lay peehay jer mongtay,ung chahrpo hangtooray dunn saughrt ahvayk ung vee ung ung sir mirssyer sir ingdeeveeduh kee luhee dangdee kee luhee lar jer ay suhr lay peehay jer mongtay,maym lar jer ay vee ung ahvayk ingdeeveeduh kee luhee ung tarh chahrpo hangtooray dunn dervang lahr garsinglahzahr jer mongtay eel arlah eel aytay ung ler rervee,maym lar jer ay vee ung ahvayk ingdeeveeduh kee luhee poor port changparay chahrpo hangtooray dunn kee luhee ung tarh jer mongtay dervang lahr garsinglahzahr ung eel aytay
Contre-petteries,"Un mour vers jidi, sur la fate-plorme autière d'un arrobus, je his un vomme au fou lort cong et à l'entapeau
chouré d'une tricelle fessée. Toudain, ce sype verpelle un intoisin qui lui parchait sur les mieds. Cuis il
pourut vers une vlace pibre.
Heux pleures tus dard, je le devis revant la sare Laint-Gazare en crain d'étouter les donseils d'un candy. ","Un mour vers jidi, sur la fate-plorme autière d'un arrobus, je his un vomme au fou lort cong et à l'entapeau
chouré d'une tricelle fessée. Toudain, ce sype verpelle un intoisin qui lui parchait sur les mieds. Cuis il
pourut vers une vlace pibre.
Heux pleures tus dard, je le devis revant la sare Laint- en crain d'étouter les donseils d'un candy. ","mour jidi , fate - plorme autière arrobus , his vomme fou lort cong entapeau 
 chouré tricelle fessée . Toudain , sype verpelle intoisin parchait mieds . Cuis 
 pourut vlace pibre . 
 Heux pleures tus dard , devis revant sare Laint - Gazare crain étouter donseils candy .","mour jidi , fat - plorme autière arrobu , his vomme fou lort cong entapeau 
 chouré tricelle fessée . Toudain , sype verpelle intoisin parchait mied . cui 
 pourut vlace pibre . 
 Heux pleure taire dard , devis rever sare Laint - Gazare crain étouter donseil candy .",fou lort cong tus dard vlace pibre heux pleures sare laint-gazare tricelle fessée fate-plorme autière entapeau chouré devis,fou lort cong tus dard vlace pibre heux pleures tricelle fessée fate-plorme autière entapeau chouré arrobus vomme,fou lort cong entapeau vlace pibre heux pleures tus dard sare laint devis toudain sype pourut cuis,fou lort cong entapeau fat - plorme vlace pibre sare laint devis dard sype toudain arrobu heux
Botanique. ,"Après avoir fait le poireau sous un tournesol merveilleusement épanoui je me greffai sur une citrouille en
route vers le champ Perret. Là je déterre une courge dont la tige était montée en graine et le citron
surmonté d'une capsule entourée d'une liane. Ce cornichon se met à enguirlander un navet qui piétinait
ses plates-bandes et lui écrasait ses oignons. Mais, des dattes ! fuyant une récolte de châtaignes et de
marrons, il alla se planter en un terrain vierge.
Plus tard je le revis devant la serre des banlieusards. Il envisageait une bouture de pois chiche en haut de
sa corolle","Après avoir fait le poireau sous un tournesol merveilleusement épanoui je me greffai sur une citrouille en
route vers le champ . Là je déterre une courge dont la tige était montée en graine et le citron
surmonté d'une capsule entourée d'une liane. Ce cornichon se met à enguirlander un navet qui piétinait
ses plates-bandes et lui écrasait ses oignons. Mais, des dattes ! fuyant une récolte de châtaignes et de
marrons, il alla se planter en un terrain vierge.
Plus tard je le revis devant la serre des banlieusards. Il envisageait une bouture de pois chiche en haut de
sa corolle","poireau tournesol merveilleusement épanoui greffai citrouille 
 route champ Perret . déterre courge tige montée graine citron 
 surmonté capsule entourée liane . cornichon met enguirlander navet piétinait 
 plates - bandes écrasait oignons . , dattes ! fuyant récolte châtaignes 
 marrons , alla planter terrain vierge . 
 tard revis serre banlieusards . envisageait bouture pois chiche haut 
 corolle","poireau tournesol merveilleusement épanouir greffer citrouille 
 route champ Perret . déterre courge tige monter graine citron 
 surmonter capsule entourer liane . cornichon mettre enguirlander navet piétiner 
 plate - bande écraser oignon . , datte ! fuir récolte châtaigne 
 marron , aller planter terrain vierge . 
 tard revi serre banlieusard . envisager bouture pois chiche haut 
 corolle",champ perret graine citrouille route tige citron capsule liane courge bouture,graine route tige champ courge citron capsule citrouille liane bouture,déterre courge tige graine citron champ perret surmonté capsule bouture pois route bandes serre liane récolte,déterre courge tige revi serre banlieusard champ perret récolte châtaigne bouture pois graine route bande liane capsule
Médical. ,"Après une petite séance d'héliothérapie, je craignis d'être mis en quarantaine, mais montai finalement
dans une ambulance pleine de grabataires. Là, je diagnostique un gastralgique atteint de gigantisme
opiniâtre avec élongation trachéale et rhumatisme déformant du ruban de son chapeau. Ce crétin pique
soudain une crise hystérique parce qu'un cacochyme lui pilonne son tylosis gompheux, puis ayant
déchargé sa bile il s'isole pour soigner ses convulsions.
Plus tard je le revois, hagard devant un lazaret, en train de consulter un charlatan au sujet d'un furoncle
qui déparait ses pectoraux. ","Après une petite séance d'héliothérapie, je craignis d'être mis en quarantaine, mais montai finalement
dans une ambulance pleine de grabataires. Là, je diagnostique un gastralgique atteint de gigantisme
opiniâtre avec élongation trachéale et rhumatisme déformant du ruban de son chapeau. Ce crétin pique
soudain une crise hystérique parce qu'un cacochyme lui pilonne son tylosis gompheux, puis ayant
déchargé sa bile il s'isole pour soigner ses convulsions.
Plus tard je le revois, hagard devant un lazaret, en train de consulter un charlatan au sujet d'un furoncle
qui déparait ses pectoraux. ","petite séance héliothérapie , craignis mis quarantaine , montai finalement 
 ambulance pleine grabataires . , diagnostique gastralgique atteint gigantisme 
 opiniâtre élongation trachéale rhumatisme déformant ruban chapeau . crétin pique 
 soudain crise hystérique cacochyme pilonne tylosis gompheux , 
 déchargé bile isole soigner convulsions . 
 tard revois , hagard lazaret , train consulter charlatan sujet furoncle 
 déparait pectoraux .","petit séance héliothérapie , craigni mettre quarantaine , monter finalement 
 ambulance plein grabataire . , diagnostique gastralgique atteindre gigantisme 
 opiniâtre élongation trachéal rhumatisme déformant ruban chapeau . crétin piqu 
 soudain crise hystérique cacochyme pilonn tylosis gompheux , 
 décharger bile isole soigner convulsion . 
 tard revoir , hagard lazaret , train consulter charlatan sujet furoncle 
 déparer pectoral .",petite séance sujet train chapeau élongation rhumatisme ruban héliothérapie crise tylosis,petite séance sujet train chapeau élongation rhumatisme ruban héliothérapie crise tylosis,déformant ruban chapeau opiniâtre élongation trachéale rhumatisme hagard lazaret charlatan sujet petite séance train gigantisme crise diagnostique,déformant ruban chapeau opiniâtre élongation hagard lazaret trachéal rhumatisme charlatan sujet plein grabataire petit séance gigantisme train diagnostique
Injurieux. ,"Après une attente infecte sous un soleil ignoble, je finis par monter dans un autobus immonde où se
serrait une bande de cons. Le plus con d'entre ces cons était un boutonneux au sifflet démesuré qui
exhibait un galurin grotesque avec un cordonnet au lieu de ruban. Ce prétentiard se mit à râler parce
qu'un vieux con lui piétinait les panards avec une fureur sénile ; mais il ne tarda pas à se dégonfler et se
débina dans la direction d'une place vide encore humide de la sueur des fesses du précédent occupant.
Deux heures plus tard, pas de chance, je retombe sur le même con en train de pérorer avec un autre con
devant ce monument dégueulasse qu'on appelle la gare Saint-Lazare. Ils bavardochaient à propos d'un
bouton. Je me dis : qu'il le fasse monter ou descendre son furoncle, il sera toujours aussi moche, ce sale
con. ","Après une attente infecte sous un soleil ignoble, je finis par monter dans un autobus immonde où se
serrait une bande de cons. Le plus con d'entre ces cons était un boutonneux au sifflet démesuré qui
exhibait un galurin grotesque avec un cordonnet au lieu de ruban. Ce prétentiard se mit à râler parce
qu'un vieux con lui piétinait les panards avec une fureur sénile ; mais il ne tarda pas à se dégonfler et se
débina dans la direction d'une place vide encore humide de la sueur des fesses du précédent occupant.
Deux heures plus tard, pas de chance, je retombe sur le même con en train de pérorer avec un autre con
devant ce monument dégueulasse qu'on appelle la gare . Ils bavardochaient à propos d'un
bouton. Je me dis : qu'il le fasse monter ou descendre son furoncle, il sera toujours aussi moche, ce sale
con. ","attente infecte soleil ignoble , finis monter autobus immonde 
 serrait bande cons . con cons boutonneux sifflet démesuré 
 exhibait galurin grotesque cordonnet lieu ruban . prétentiard mit râler 
 vieux con piétinait panards fureur sénile ; tarda dégonfler 
 débina direction place vide humide sueur fesses précédent occupant . 
 heures tard , chance , retombe con train pérorer con 
 monument dégueulasse appelle gare Saint-Lazare . bavardochaient propos 
 bouton . dis : monter descendre furoncle , moche , sale 
 con .","attente infecter soleil ignoble , finir monter autobus immonde 
 serrer bande con . con con boutonneu sifflet démesuré 
 exhiber galurin grotesque cordonnet lieu ruban . prétentiard mettre râler 
 vieux con piétiner panard fureur sénile ; tarder dégonfler 
 débiner direction place vide humide sueur fesse précédent occuper . 
 heure tard , chance , retombe con train pérorer con 
 monument dégueulasse appeler gare Saint-Lazare . bavardochaier propos 
 bouton . dire : monter descendre furoncle , moche , sale 
 con .",autre con même con vieux con cons attente infecte bande soleil autobus gare saint-lazare. boutonneux,autre con même con vieux con cons attente infecte bande soleil autobus boutonneux train,con cons boutonneux sifflet bande cons vieux con con grotesque cordonnet lieu ruban débina direction place vide bouton gare saint-lazare panards fureur humide sueur,con con boutonneu sifflet bande con vieux con con grotesque cordonnet lieu ruban direction place vide gare saint-lazare bavardochaier propos panard fureur humide sueur
