,title,texte,texte_keyword,keyword_without_ent,keyword_without_stop_word,keywords_lematisations
29,Présent,"à midi, la chaleur s'étale autour des pieds des voyageurs d'autobus. que, placée sur un long cou, une
tête stupide ornée d'un chapeau grotesque vienne à s'enflammer, aussitôt pète la querelle. pour foirer
bien vite d'ailleurs, en une atmosphère lourde pour porter encore trop vivantes de bouche à oreille des
injures définitives. alors, on va s'asseoir à l'intérieur, au frais.
plus tard peuvent se poser, devant des gares aux cours doubles, des questions vestimentaires, à propos
de quelque bouton que des doigts gras de sueur tripotent avec assurance.",long cou$tête stupide$chapeau grotesque$atmosphère lourde$injures définitives,long$cou$tête$stupide$chapeau$grotesque$atmosphère$lourde$injures$définitives,long$cou$tête$stupide$chapeau$grotesque$atmosphère$lourde$injures$définitives,long$cou$tête$stupide$chapeau$grotesque$atmosphère$lourd$injure$définitif
30,Passé simple.,"ce fut midi. les voyageurs montèrent dans l'autobus. on fut serré. un jeune monsieur porta sur sa tête un
chapeau entouré d'une tresse, non d'un ruban. il eut un long cou. il se plaignit auprès de son voisin des
bousculades que celui-ci lui infligea. dès qu'il aperçut une place libre, il se précipita vers elle et s'y assit.
je l'aperçus plus tard devant la gare saint-lazare. il se vêtit d'un pardessus et un camarade qui se trouva
là lui fit cette remarque : il fallut mettre un bouton supplémentaire.",jeune monsieur$long cou$place libre$bouton supplémentaire,jeune$monsieur$long$cou$place$libre$bouton$supplémentaire,jeune$monsieur$long$cou$place$libre$bouton$supplémentaire,jeune$Monsieur$long$cou$place$libre$bouton$supplémentaire
31,Imparfait. ,"c'était midi. les voyageurs montaient dans l'autobus. on était serré. un jeune monsieur portait sur sa tête
un chapeau qui était entouré d'une tresse et non d'un ruban. il avait un long cou. il se plaignait auprès de
son voisin des bousculades que ce dernier lui infligeait. dès qu'il apercevait une place libre, il se
précipitait vers elle et s'y asseyait.
je l'apercevais plus tard, devant la gare saint-lazare. il se vêtait d'un pardessus et un camarade qui se
trouvait là lui faisait cette remarque : il fallait mettre un bouton supplémentaire.",jeune monsieur$long cou$place libre$bouton supplémentaire,jeune$monsieur$long$cou$place$libre$bouton$supplémentaire,jeune$monsieur$long$cou$place$libre$bouton$supplémentaire,jeune$Monsieur$long$cou$place$libre$bouton$supplémentaire
32,Alexandrins. ,"
je vis un foutriquet de je ne sais quelle espèce qui râlait bien qu'autour de son turban
il y eût de la tresse en place de ruban.
il râlait ce jeune homme à l'allure insipide,
au col démesuré, à l'haleine putride,
parce qu'un citoyen qui paraissait majeur
le heurtait, disait-il, si quelque voyageur
se hissait haletant et poursuivi par l'heure
espérant déjeuner en sa chaste demeure.
il n'y eut point d'esclandre et le triste quidam
courut vers une place et s'assit sottement. un jour, dans l'autobus qui porte la lettre s,comme je retournais direction rive gauche
de nouveau j'aperçus ce personnage moche
accompagné d'un zèbre, imbécile dandy,
qui disait : «ce bouton faut pas le mettre icy.»",jeune homme$allure insipide$col démesuré$haleine putride$triste quidam,jeune$homme$allure$insipide$col$démesuré$haleine$putride$triste,jeune$homme$allure$insipide$col$démesuré$haleine$putride$triste$quidam,jeune$homme$allure$insipide$col$démesuré$haleine$putride$triste$quidam
33,Polyptotes. ,"je montai dans un autobus plein de contribuables qui donnaient des sous à un contribuable qui avait sur
son ventre de contribuable une petite boîte qui contribuait à permettre aux autres contribuables de
continuer leur trajet de contribuables. je remarquai dans cet autobus un contribuable au long cou de
contribuable et dont la tête de contribuable supportait un chapeau mou de contribuable ceint d'une tresse
comme jamais n'en porta contribuable. soudain le dit contribuable interpelle un contribuable de voisin en
lui reprochant amèrement de lui marcher exprès sur ses pieds de contribuable chaque fois que d'autres
contribuables montaient ou descendaient de l'autobus pour contribuables. puis le contribuable irrité alla
s'asseoir à la place pour contribuable que venait de laisser libre un autre contribuable. quelques heures
de contribuable plus tard, je l'aperçus dans la cour pour contribuables de rome, en compagnie d'un
contribuable qui lui donnait des conseils d'élégance de contribuable.",autres contribuables$autobus plein$petite boîte$long cou$chapeau mou,autres$contribuables$autobus$plein$petite$boîte$long$cou$chapeau$mou,contribuables$autobus$plein$petite$boîte$long$cou$chapeau$mou,autobus$plein$contribuable$petit$boîte$autre$contribuable$contribuable$autobus$long$cou$chapeau$mou$autre$contribuable$autobus$contribuable$contribuable
34,Aphérèses ,"tai obus yageur. marquai ne me tait ble lui rafe tzit avec lon sé. ere tre tre geur chant cher eds que tait
dait de. la seoir ne ce tait bre.
tournant ve che, çus chait ge vec mi nait seils ance trant mier ton essus. ",ge vec mi,mi,ge$vec$mi,ge$vec$mi
35,Apocopes,"je mon dans un aut plein de voya. je remar un jeu hom dont le cou é sembla à ce de la gira et qui por un cha a un ga tres. il se mit en col con un au voya, lui repro de lui mar sur les pi cha fois qu’il mon ou descen du mon. puis il al s’as car u pla é li. re ri gau, je l’aper qui mar en long et en lar a un a qui lui don des con d’élég en lui mon le pre bou de son pard.",cou é$col con$é li$voya,cou$col$con$voya,cou$é$col$con$é$li$voya,voyer$cou$é$col$con$voyer$é$li$con
36,Syncopes,"je mtai ds aubus plein dvyageurs. je rarquai un jhomme au coublebleluirafe et au chapaltrés. il se mit en
colcautre vyageur car il lui rechat de lui marpier. puis il ocpa denue lbre.
en fant le mêmin en sinverse, je l’açus à courome qui prait une lon d’égance àjet d’un bton.",,nan,nan,
37,Moi je.,"moi je comprends ça : un type qui s'acharne à vous marcher sur les pinglots, ça vous fout en rogne. mais après avoir protesté aller s'asseoir comme un péteux, moi, je comprends pas ça. moi j'ai vu ça l'autre jour sur la plate-forme arrière d'un autobus s. moi je lui trouvais le cou un peu long à ce jeune homme et aussi bien rigolote cette espèce de tresse qu'il avait autour de son chapeau. moi jamais j'oserais me promener avec un couvre-chef pareil. mais c'est comme je vous le dis, après avoir gueulé contre un autre voyageur qui lui marchait sur les pieds, ce type est allé s'asseoir sans plus. moi, je lui aurais foutu une baffe à ce salaud qui m'aurait marché sur les pieds. il y a des choses curieuses dans la vie, moi je vous le dis, il n'y a que les montagnes qui ne se rencontrent pas. deux heures plus tard, moi je rencontre de nouveau ce garçon. moi, je l'aperçois devant la gare saint-lazare. moi, je le vois en compagnie d'un copain de sa sorte qui lui disait, moi je l'ai entendu : «tu devrais remonter ce bouton-là.» moi, je l'ai bien vu, il désignait le bouton supérieur.",autre jour$plate-forme arrière$jeune homme$couvre-chef pareil$autre voyageur,autre$jour$plate-forme$arrière$jeune$homme$couvre-chef$pareil$autre$voyageur,jour$plate-forme$arrière$jeune$homme$couvre-chef$pareil$voyageur,autre$jour$arrière$jeune$homme$couvre-chef$pareil$autre$voyageur
38,Exclamations. ,"tiens ! midi ! temps de prendre l'autobus ! que de monde ! que de monde ! ce qu'on est serré ! marrant
!ce gars-là ! quelle trombine ! et quel cou ! soixante-quinze centimètres ! au moins ! et le galon ! le galon
!je n'avais pas vu ! le galon ! c'est le plus marant ! ça ! le galon ! autour de son chapeau !
un galon ! marrant ! absolument marrant ! ça y est le voilà qui râle ! le type au galon ! contre un voisin !
qu'est-ce qu'il lui raconte ! l'autre ! lui aurait marché sur les pieds ! ils vont se fiche des gifles ! pour sür !
mais non ! mais si ! va h y ! va h y ! mords y l'œil ! fonce ! cogne ! mince alors ! mais non ! il se dégonfle
!le type ! au long cou ! au galon ! c'est sur une place vide qu'il fonce ! oui ! le gars ! eh bien ! vrai ! non ! je
ne me trompe pas ! c'est bien lui ! là-bas ! dans la cour de rome ! devant la gare saint-lazare ! qui se
balade en long et en large ! avec un autre type ! et qu'est-ce que l'autre lui raconte ! qu'il devrait ajouter un
bouton ! oui ! un bouton à son pardessus ! à son pardessus ! 
",soixante-quinze centimètres$long cou$place vide$autre type$galon,soixante-quinze$centimètres$long$cou$place$vide$autre$type$galon,soixante-quinze$centimètres$long$cou$place$vide$type$galon,cou$soixante-quinze$centimètre$galon$galon$galon$galon$galon$type$galon$autre$type$long$cou$galon$place$vide$long$autre$type$autre
39,Alors. ,"alors l'autobus est arrivé. alors j'ai monté dedans. alors j'ai vu un citoyen qui m'a saisi l'œil. alors j'ai vu
son long cou et j'ai vu la tresse qu'il y avait autour de son chapeau. alors il s'est mis à pester contre son
voisin qui lui marchait alors sur les pieds. alors, il est allé s'asseoir.
alors, plus tard, je l'ai revu cour de rome. alors il était avec un copain.
alors, il lui disait, le copain : tu devrais faire mettre un autre bouton à ton pardessus. alors. 
",long cou$autre bouton,long$cou$autre$bouton,long$cou$bouton,long$cou$autre$bouton
40,"Ampoulé. 
","à l'heure où commencent à se gercer les doigts roses de l'aurore, je montai tel un dard rapide dans un
autobus à la puissance stature et aux yeux de vache de la ligne s au trajet sinueux. je remarquai, avec la
précision et l'acuité de l'indien sur le sentier de la guerre, la présence d'un jeune homme dont le col était
plus long que celui de la girafe au pied rapide, et dont le chapeau de feutre mou fendu s'ornait d'une
tresse, tel le héros d'un exercice de style. la funeste discorde aux seins de suie vint de sa bouche
empestée par un néant de dentifrice, la discorde, dis-je, vint souffler son virus malin entre ce jeune
homme au col de girafe et à la tresse autour du chapeau, et un voyageur à la mine indécise et farineuse.
celui-là s'adressa en ces termes à celui-ci : «dites-donc, vous, on dirait que vous le faites exprès de me
marcher sur les pieds !» ayant dit ces mots, le jeune homme au col de girafe et à la tresse autour du
chapeau s'alla vite asseoir.
plus tard, dans la cour de rome aux majestueuses proportions, j'aperçus de nouveau le jeune homme au
cou de girafe et à la tresse autour du chapeau, accompagné d'un camarade arbitre des élégances qui
proférait cette critique que je pus entendre de mon oreille agile, critique adressée au vêtement le plus
extérieur du jeune homme au col de girafe et à la tresse autour du chapeau : «tu devrais en diminuer
l'échancrure par l'addition ou l'exhaussement d'un bouton à la périphérie circulaire.»",jeune homme$doigts roses$dard rapide$puissance stature$trajet sinueux,jeune$homme$doigts$roses$dard$rapide$puissance$stature$trajet$sinueux,jeune$homme$doigts$roses$dard$rapide$puissance$stature$trajet$sinueux,doigt$rose$dard$rapide$puissance$statur$trajet$sinueux$jeune$homme$rapide$jeune$homme$jeune$homme$jeune$homme$jeune$homme
41,"Vulgaire. 
","l'était un peu plus dmidi quand j'ai pu monter dans l'esse. jmonte donc, jpaye ma place comme de bien
entendu et voilàtipas qu'alors jremarque un zozo l'air pied, avec un cou qu'on aurait dit un télescope et
une sorte de ficelle autour du galurin. je lregarde passque jlui trouve l'air pied quand le voilàtipas qu'ismet
à interpeller son voisin. dites-donc, qu'il lui fait, vous pourriez pas faire attention, qu'il ajoute, on dirait, qu'il
pleurniche, quvous lfaites essprais, qu'i bafouille, deummarcher toutltemps sullé panards, qu'i dit. làdessus, tout fier de lui, il va s'asseoir. comme un pied.
jrepasse plus tard cour de rome et jl'aperçois qui discute le bout de gras avec autre zozo de son
espèce. dis-donc, qu'i lui faisait l'autre, tu dvrais, qu'i lui disait, mettre un ottbouton, qu'il ajoutait, à ton
pardingue, qu'i concluait. ",air pied$i bafouille$autre zozo,air$pied$i$bafouille$autre$zozo,air$pied$bafouille$zozo,zozo$air$pied$air$pied$i$bafouille$i$pied$autre$zozo$i$autre$i$i
42,Interrogatoire. ,"- à quelle heure ce jour-là passa l'autobus de la ligne s de midi 23, direction
porte de champerret ?
- à midi 38.
- y avait-il beaucoup de monde dans l'autobus de la ligne s sus-désigné ?
- des floppées.
- qu'y remarquâtes-vous de particulier ?
- un particulier qui avait un très long cou et une tresse autour de son chapeau.
- son comportement était-il aussi singulier que sa mise et son anatomie ?
- tout d'abord non ; il était normal, mais il finit par s'avérer être celui d'un cyclothymique paranoïaque
légèrement hypotendu dans un état d'irritabilité hypergastrique.
- comment cela se traduisit-il ?
- le particulier en question interpella son voisin sur un ton pleurnichard en lui demandant s'il ne faisait pas
exprès de lui marcher sur les pieds chaque fois qu'il montait ou descendait des voyageurs.
- ce reproche était-il fondé ?
- je l'ignore.
- comme se termina cet incident ?
- par la fuite précipitée du jeune homme qui alla occuper une place libre.
- cet incident eut-il un rebondissement ?
- moins de deux heures plus tard.
- en quoi consista ce rebondissement ?
- en la réapparition de cet individu sur mon chemin.
- où et comment le revîtes-vous ?
- en passant en autobus devant la cour de rome.
- qu'y faisait-il ?
- il prenait une consultation d'élégance. ",long cou$cyclothymique paranoïaque$jeune homme$place libre$deux heures,long$cou$cyclothymique$paranoïaque$jeune$homme$place$libre$deux$heures,long$cou$cyclothymique$paranoïaque$jeune$homme$place$libre$heures,long$cou$cyclothymique$paranoïaque$jeune$homme$place$libre$deux$heure
43,Comédie.,"acte premier
scène i
(sur la plate-forme arrière d'un autobus s, un jour, vers midi.)
le receveur. -la monnaie, s'iou plaît. (des voyageurs lui passent la monnaie.)
scène ii
(l'autobus s'arrête.)
le receveur. - laissons descendre. priorités ? une priorité ! c'est complet. drelin, drelin, drelin.
acte second
scène i
(même décor.)
premier voyageur (jeune, long cou, une tresse autour du chapeau).
- on dirait, monsieur, que vous le faites exprès de me marcher sur les pieds chaque fois qu'il passe des
gens. second voyageur (hausse les épaules)
scène ii
(un troisième voyageur descend.)
premier voyageur (s'adressant au public) : chouette ! une place libre ! j'y cours. (il se précipite dessus et
l'occupe.)
acte troisième
scène i
(la cour de rome.)
un jeune élégant (au premier voyageur, maintenant piéton). -l'échancrure de ton pardessus est trop
large. tu devrais la fermer un peu en faisant remonter le bouton du haut.
scène ii
(à bord d'un autobus s passant devant la cour de rome.)
quatrième voyageur. -tiens, le type qui se trouvait tout à l'heure avec moi dans l'autobus et qui
s'engueulait avec un bonhomme. curieuse rencontre. j'en ferai une comédie en trois actes et en prose.",drelin$scène ii$premier voyageur$acte premier scène i$plate-forme arrière,drelin$scène$ii$premier$voyageur$acte$premier$scène$i$plate-forme$arrière,drelin$scène$ii$voyageur$acte$scène$plate-forme$arrière,premier$arrière$drelin$drelin$voyageur$premier$voyageur
44,Apartés. ,"l'autobus arriva tout gonflé de voyageurs. pourvu que je ne le rate pas, veine il y a encore une place pour
moi. l'un d'eux il en a une drôle de tirelire avec son cou démesuré portait un chapeau de feutre mou
entouré d'une sorte de cordelette à la place de ruban ce que ça a l'air prétentieux et soudain se mit tiens
qu'est-ce qui lui prend à vitupérer un voisin l'autre fait pas attention à ce qu'il lui raconte auquel il
reprochait de lui marcher exprès a l'air de chercher la bagarre, mais il se dégonflera sur les pieds. mais
comme une place était libre à l'intérieur qu'est-ce que je disais il tourna le dos et courut l'occuper.
deux heures plus tard environ, c'est curieux les coïncidences il se trouvait cour de rome en compagnie
d'un ami un michet de son espèce qui lui désignait de l'index un bouton de son pardessus qu'est-ce qu'il
peut bien lui raconter ? ",place$cou démesuré$feutre mou$air prétentieux$deux heures,place$cou$démesuré$feutre$mou$air$prétentieux$deux$heures,place$cou$démesuré$feutre$mou$air$prétentieux$heures,place$cou$démesuré$feutre$mou$place$air$prétentieux$air$place$heure
45,Paréchèses. ,"sur la tribune bustérieure d'un bus qui transhabutait vers un but peu bucolique des bureaucrates abutis,
un burlesque funambule à la buccule loin de buste et au gibus sans buran, fit brusquement du grabuge
contre un burgrave qui le bousculait: « butor! y a de l'abus! » s'attribuant un taburet, il s'y culbuta tel un
obus dans une cambuse.
bultérieurement, en un conciliabule, il butinait cette stibulation: « buse! ce globuleux buton buche mal ton
burnous!» 
",burlesque funambule$globuleux buton buche,burlesque$funambule$globuleux$buton$buche,burlesque$funambule$globuleux$buton$buche,burlesque$funambul$globuleux$buton$buche
46,"Fantomatique. 
","nous, garde-chasse de la plaine-monceau, avons l'honneur de rendre compte de l'inexplicable et maligne
présence dans le voisinage de la porte orientale du parc de s. a. r. monseigneur philippe le sacré duc
d'orléans, ce jour d'huy seize de mai mille sept cent quatre-vingt-trois, d'un chapeau mou de forme
inhabituelle et entouré d'une sorte de galon tressé. conséquemment nous constatâmes l'apparition
soudaine sous le dit chapeau d'un homme jeune, pourvu d'un cou d'une longueur extraordinaire et vêtu
comme on se vêt sans doute à la
chine. l'effroyable aspect de ce quidam nous glaça les sangs et prévint notre fuite. ce quidam demeura
quelques instants immobile, puis s'agita en grommelant comme s'il repoussait le voisinage d'autres
quidams invisibles mais à lui sensibles. soudain son attention se porta vers son manteau et nous
l'entendîmes qui murmurait comme suit : «il manque un bouton, il manque un bouton». il se mit alors en
route et prit la direction de la pépinière. attiré malgré nous par l'étrangeté de ce phénomène, nous le
suivîmes hors des limites attribuées à notre juridiction et nous atteignîmes nous trois le quidam et le
chapeau un jardinet désert mais planté de salades. une plaque bleue d'origine inconnue mais
certainement diabolique portait l'inscription «cour de rome». le quidam s'agita quelques moments
encore en murmurant : «il a voulu me marcher sur les pieds.» il disparut alors, lui d'abord et quelque
temps après son chapeau. après avoir dressé procès-verbal de cette liquidation, j'allai boire chopine à la
petite-pologne. ",maligne présence$monseigneur philippe$sacré duc$huy seize$mai mille sept cent,maligne$présence$monseigneur$philippe$sacré$huy$seize$mai$mille$sept$cent,maligne$présence$monseigneur$philippe$sacré$duc$huy$mai,maligne$présence$sacrer$duc$huy$seize$mai$mille$sept$cent
47,Philosophique,"les grandes villes seules peuvent présenter à la spiritualité phénoménologique les essentialités des
coïncidences temporelles et improbabilistes. le philosophe qui monte parfois dans l'inexistentialité futile et
outilitaire d'un autobus s y peut apercevoir avec la lucidité de son œil pinéal les apparences fugitives et
décolorées d'une conscience profane affligée du long cou de la vanité et de la tresse chapeautière de
l'ignorance. cette matière sans entéléchie véritable se lance parfois dans l'impératif catégorique de son
élan vital et récriminatoire contre l'irréalité néoberkeleyienne d'un mécanisme corporel inalourdi de
conscience. cette attitude morale entraîne alors le plus inconscient des deux vers une spatialité vide où il
se décompose en ses éléments premiers et crochus.
la recherche philosophique se poursuit normalement par la rencontre fortuite mais anagogique du même
être accompagné de sa réplique inessentielle et couturière, laquelle lui conseille nouménalement de
transposer sur le plan de l'entendement le concept de bouton de pardessus situé sociologiquement trop
bas. ",grandes villes seules$spiritualité phénoménologique$coïncidences temporelles$apparences fugitives$conscience profane,grandes$villes$seules$spiritualité$phénoménologique$coïncidences$temporelles$apparences$fugitives$conscience$profane,grandes$villes$spiritualité$phénoménologique$coïncidences$temporelles$apparences$fugitives$conscience$profane,grand$ville$seul$spiritualité$phénoménologique$coïncidence$temporel$apparence$fugitif$conscience$profane$conscience
48,Apostrophe. ,"o stylographe à la plume de platine, que ta course rapide et sans heurt trace sur le papier au dos satiné
les glyphes alphabétiques qui transmettront aux hommes aux lunettes étincelantes le récit narcissique
d'une double rencontre à la cause autobusilistique. fier coursier de mes rêves, fidèle chameau de mes
exploits littéraires, svelte fontaine de mots comptés, pesés et choisis, décris les courbes lexicographiques
et syntactiques qui formeront graphiquement la narration futile et dérisoire des faits et gestes de ce jeune
homme qui prit un jour l'autobus s sans se douter qu'il deviendrait le héros immortel de mes laborieux
travaux d'écrivain. freluquet au long cou surplombé d'un chapeau cerné d'un galon tressé, roquet rageur,
rouspéteur et sans courage qui fuyant la bagarre allas poser ton derrière moissonneur de coups de pieds
au cul sur une banquette en bois durci, soupçonnais-tu cette destinée rhétorique lorsque devant la gare
saint-lazare tu écoutais d'une oreille exaltée les conseils de tailleur d'un personnage qu'inspirait le
bouton supérieur de ton pardessus ? ",o stylographe$course rapide$heurt trace$glyphes alphabétiques$lunettes étincelantes,o$stylographe$course$rapide$heurt$trace$glyphes$alphabétiques$lunettes$étincelantes,stylographe$course$rapide$heurt$trace$glyphes$alphabétiques$lunettes$étincelantes,stylographe$course$rapide$heurt$trace$glyphe$alphabétique$lunette$étincelant
49,Maladroit. ,"je n'ai pas l'habitude d'écrire. je ne sais pas. j'aimerais bien écrire une tragédie ou un sonnet ou une
ode, mais il y a les règles. ça me gêne. c'est pas fait pour les amateurs. tout ça c'est déjà bien mal écrit.
enfin. en tout cas, j'ai vu aujourd'hui quelque chose que je voudrais bien coucher par écrit.
coucher par écrit ne me paraît pas bien fameux. ça doit être une de ces expressions toutes faites qui
rebutent les lecteurs qui lisent pour les éditeurs qui recherchent l'originalité qui leur paraît nécessaire dans
les manuscrits que les éditeurs publient lorsqu'ils ont été lus par les lecteurs que rebutent les expressions
toutes faites dans le genre de « coucher par écrit » qui est pourtant ce que je voudrais faire de quelque
chose que j'ai vu aujourd'hui bien que je ne sois qu'un amateur que gênent les règles de la tragédie du
sonnet ou de l'ode car je n'ai pas l'habitude d'écrire. merde, je ne sais pas comment j'ai fait mais me voilà
revenu tout au début. je ne vais jamais en sortir. tant pis. prenons le taureau par les cornes. encore une
platitude. et puis ce gars-là n'avait rien d'un taureau. tiens, elle n'est pas mauvaise celle-là. si j'écrivais :
prenons le godelureau par la tresse de son chapeau de feutre mou emmanché d'un long cou, peut-être
bien que ce serait original. peut-être bien que ça me ferait connaître des messieurs de l'académie
française, du flore et de la rue sébastien-bottin. pourquoi ne ferais-je pas de progrès après tout. c'est en
écrivant qu'on devient écriveron. elle est forte celle-là. tout de même faut de la mesure. le type sur la
plate-forme de l'autobus, il en manquait quand il s'est mis à engueuler son voisin sous prétexte que ce
dernier lui marchait sur les pieds chaque fois qu'il se tassait pour laisser monter ou descendre des
voyageurs. d'autant plus qu'après avoir protesté comme cela, il est allé vite s'asseoir dès qu'il a vu une
place libre à l'intérieur comme s'il craignait les coups. tiens j'ai déjà raconté la moitié de mon histoire. je
me demande comment j'ai fait. c'est tout de même agréable d'écrire. mais il reste le plus difficile. le plus
calé. la transition. d'autant plus qu'il n'y a pas de transition. je préfère m'arrêter. 
",aujourd hui$feutre mou$long cou$académie française$place libre,aujourd$hui$feutre$mou$long$cou$académie$place$libre,aujourd$feutre$mou$long$cou$académie$française$place$libre,feutre$mou$long$cou$français$place$libre
50,"Désinvolte. 
","i.
je monte dans le bus.
- c'est bien pour la porte champerret ?
- vous savez donc pas lire ?
- excuses. il moud mes tickets sur son ventre.
- voilà.
- merci. je regarde autour de moi.
- dites donc, vous. il a une sorte de galon autour de son chapeau.
- vous pourriez pas faire attention ? il a un très long cou.
- non mais dites donc. le voilà qui se précipite sur une place libre.
- eh bien. je me dis ça.
ii.
je monte dans le bus.
- c'est bien pour la place de la contrescarpe ?
- vous savez donc pas lire ?
- excuses. son orgue de barbarie fonctionne et il me rend mes tickets avec un
petit air dessus.
- voilà.
- merci. on passe devant la gare saint-lazare.
- tiens le type de tout à l'heure. je penche mon oreille.
- tu devrais faire mettre un autre bouton à ton pardessus. il lui montre où.
- il est trop échancré ton pardessus. ça c'est vrai.
- eh bien. je me dis ça. 
",place$long cou$place libre$petit air dessus$autre bouton,place$long$cou$place$libre$petit$air$dessus$autre$bouton,place$long$cou$place$libre$petit$air$bouton,long$cou$place$libre$place$petit$air$dessus$autre$bouton
51,Partial. ,"après une attente démesurée l'autobus enfin tourna le coin de la rue et vint freiner le long du trottoir.
quelques personnes descendirent, quelques autres montèrent : j'étais de celles-ci. on me asse sur la
plate-forme, le receveur tira véhémentement sur une chasse de bruit et le véhicule repartit. tout en
découpant dans un carnet le nombre de tickets que l'homme à la petite boîte allait oblitérer sur son ventre,
je me mis à inspecter mes voisins. rien que des voisins. pas de femmes. un regard désintéressé alors.
je découvris bientôt la crème de cette boue circonscrivante : un garçon d'une vingtaine d'années qui
portait une petite tête sur un long cou et un grand chapeau sur sa petite tête
et une petite tresse coquine autour de son grand chapeau.
quel pauvre type, me dis-je.
ce n'était pas seulement un pauvre type, c'était un méchant. il se poussa du côté de l'indignation en
accusant un bourgeois quelconque de lui laminer les pieds à chaque passage de voyageurs, montants ou
descendants. l'autre le regarda d'un œil sévère, cherchant une réplique farouche dans le répertoire tout
préparé qu'il devait trimbaler à travers les diverses circonstances de la vie, mais ce jour-là il ne se
retrouvait pas dans son classement. quant au jeune homme, craignant une paire de gifles, il profita de la
soudaine liberté d'une place assise pour se précipiter sur celle-ci et s'y asseoir.
je descendis avant lui et ne pus continuer à observer son comportement. je le destinais à l'oubli lorsque,
deux heures plus tard, moi dans l'autobus, lui sur le trottoir, je le revis cour de rome, toujours aussi
lamentable.
il marchait de long en large en compagnie d'un camarade qui devait être son maître d'élégance et qui lui
conseillait, avec une pédanterie dandyesque, de faire diminuer l'échancrure de son pardessus en y faisant
adjoindre un bouton supplémentaire.
quel pauvre type, me dis-je.
puis nous deux mon autobus, nous continuâmes notre chemin.",pauvre type$petite tête$grand chapeau$petite boîte$long cou,pauvre$type$petite$tête$grand$chapeau$petite$boîte$long$cou,pauvre$type$petite$tête$grand$chapeau$petite$boîte$long$cou,long$petit$boîte$petit$tête$long$cou$grand$chapeau$petit$tête$petit$grand$chapeau$pauvre$type$pauvre$type$long$pauvre$type
52,Sonnet.,"glabre de la vaisselle et tressé du bonnet,
un paltoquet chétif au cou mélancolique
et long se préparait, quotidienne colique.
à prendre un autobus le plus souvent complet.
l'un vint, c'était un dix ou bien peut-être un s.
la plate-forme, hochet adjoint au véhicule,
trimbalait une foule en son sein minuscule
où des richards pervers allumaient des londrès
le jeune girafeau, cité première strophe,
grimpé sur cette planche entreprend un péquin
lequel, proclame-t-il, voulait sa catastrophe,
pour sortir du pétrin bigle une place assise
et s'y met. le temps passe. au retour un faquin
à propos d'un bouton examinait sa mise. 
",paltoquet chétif$cou mélancolique$quotidienne colique$plate-forme hochet$sein minuscule,paltoquet$chétif$cou$mélancolique$quotidienne$colique$plate-forme$hochet$sein$minuscule,paltoquet$chétif$cou$mélancolique$quotidienne$colique$plate-forme$hochet$sein$minuscule,paltoquet$chétif$cou$mélancolique$quotidien$colique$hochet$sein$minuscule
53,Olfactif,"dans cet s méridien il y avait en dehors de l'odeur habituelle, odeur d'abbés, de décédés, d'œufs, de
geais, de haches, de ci-gîts, de cas, d'ailes, d'aime haine au pet de culs, d'airs détestés, de nus vers, de
doubles vés cés, de hies que scient aides grecs, il y avait une certaine senteur de long cou juvénile, une
certaine perspiration de galon tressé, une certaine âcreté de rogne, une certaine puanteur lâche et
constipée tellement marquées que lorsque deux heures plus tard je passai devant la gare saint-lazare je
les reconnus et les identifiai dans le parfum cosmétique, fashionable et tailoresque qui émanait d'un
bouton mal placé. ",odeur habituelle odeur$doubles vés$scient aides grecs$certaine senteur$long cou juvénile,odeur$habituelle$odeur$doubles$vés$scient$aides$grecs$certaine$senteur$long$cou$juvénile,odeur$habituelle$odeur$doubles$vés$scient$aides$grecs$senteur$long$cou$juvénile,odeur$habituel$odeur$double$ver$scier$aide$grec$certain$senteur$long$cou$juvénile$certain$certain$certain
54,Gustatif.,"cet autobus avait un certain goüt. curieux mais incontestable. tous les autobus n'ont pas le même goüt.
ça se dit, mais c'est vrai. suffit d'en faire l'expérience. celui-là - un s - pour ne rien cacher - avait une
petite saveur de cacahouète grillée je ne vous dis que ça. la plate-forme avait son fumet spécial, de la
cacahouète non seulement grillée mais encore piétinée. à un mètre soixante au-dessus du tremplin, une
gourmande, mais il ne s'en trouvait pas, aurait pu lécher quelque chose d'un peu suret qui était un cou
d'homme dans sa trentaine. et à vingt centimètres encore au-dessus, il se présentait au palais exercé la
rare dégustation d'un galon tressé un peu cacaoté. nous dégustâmes ensuite le chouigne-gueume de la
dispute, les châtaignes de l'irritation, les raisins de la colère et les grappes d'amertume.
deux heures plus tard nous eümes droit au dessert : un bouton de pardessus… une vraie noisette…",petite saveur$fumet spécial$mètre soixante$vingt centimètres$rare dégustation,petite$saveur$fumet$spécial$mètre$soixante$vingt$centimètres$rare$dégustation,petite$saveur$fumet$spécial$mètre$centimètres$rare$dégustation,petit$saveur$fumet$spécial$mètre$soixant$vingt$centimètre$rare$dégustation
