,Unnamed: 0,title,texte,texte_keyword,keyword_without_ent,keyword_without_stop_word,keywords_lematisations
28,28,Passé indéfini. ,"Je suis monté dans l'autobus de la porte Champerret. Il y avait beaucoup de monde, des jeunes, des
vieux, des femmes, des militaires. J'ai payé ma place et puis j'ai regardé autour de moi. Ce n'était pas très
intéressant. J'ai quand même fini par remarquer un jeune homme dont j'ai trouvé le cou trop long. J'ai
examiné son chapeau et je me suis aperçu qu'au lieu d'un ruban il y avait un galon tressé. Chaque fois
qu'un nouveau voyageur montait, ça faisait de la bousculade. Je n'ai rien dit, mais le jeune homme au
long cou a tout de même interpellé son voisin. Je n'ai pas entendu ce qu'il lui a dit, mais ils se sont
regardés d'un sale oeil. Alors, le jeune homme au long cou est allé s'asseoir précipitamment.
En revenant de la porte Champerret, je suis passé devant la gare Saint-Lazare.
J'ai vu mon type qui discutait avec un copain. Celui-ci a désigné du doigt un bouton juste au-dessus de
l'échancrure du pardessus. Puis l'autobus m'a emmené et je ne les ai plus vus. J'étais assis et je n'ai
pensé à rien. 
",jeune homme$long cou$nouveau voyageur$sale oeil$bouton juste,jeune$homme$long$cou$nouveau$voyageur$sale$oeil$bouton$juste,jeune$homme$long$cou$voyageur$sale$oeil$bouton,jeune$homme$cou$long$nouveau$voyageur$jeune$homme$long$cou$sale$oeil$jeune$homme$long$cou$bouton$juste
29,29,Présent,"À midi, la chaleur s'étale autour des pieds des voyageurs d'autobus. Que, placée sur un long cou, une
tête stupide ornée d'un chapeau grotesque vienne à s'enflammer, aussitôt pète la querelle. Pour foirer
bien vite d'ailleurs, en une atmosphère lourde pour porter encore trop vivantes de bouche à oreille des
injures définitives. Alors, on va s'asseoir à l'intérieur, au frais.
Plus tard peuvent se poser, devant des gares aux cours doubles, des questions vestimentaires, à propos
de quelque bouton que des doigts gras de sueur tripotent avec assurance.",long cou$tête stupide$chapeau grotesque$atmosphère lourde$injures définitives,long$cou$tête$stupide$chapeau$grotesque$atmosphère$lourde$injures$définitives,long$cou$tête$stupide$chapeau$grotesque$atmosphère$lourde$injures$définitives,long$cou$tête$stupide$chapeau$grotesque$atmosphère$lourd$injure$définitif
30,30,Passé simple.,"Ce fut midi. Les voyageurs montèrent dans l'autobus. On fut serré. Un jeune monsieur porta sur sa tête un
chapeau entouré d'une tresse, non d'un ruban. Il eut un long cou. Il se plaignit auprès de son voisin des
bousculades que celui-ci lui infligea. Dès qu'il aperçut une place libre, il se précipita vers elle et s'y assit.
Je l'aperçus plus tard devant la gare Saint-Lazare. Il se vêtit d'un pardessus et un camarade qui se trouva
là lui fit cette remarque : il fallut mettre un bouton supplémentaire.",jeune monsieur$long cou$place libre$bouton supplémentaire,jeune$monsieur$long$cou$place$libre$bouton$supplémentaire,jeune$monsieur$long$cou$place$libre$bouton$supplémentaire,jeune$Monsieur$long$cou$place$libre$bouton$supplémentaire
31,31,Imparfait. ,"C'était midi. Les voyageurs montaient dans l'autobus. On était serré. Un jeune monsieur portait sur sa tête
un chapeau qui était entouré d'une tresse et non d'un ruban. Il avait un long cou. Il se plaignait auprès de
son voisin des bousculades que ce dernier lui infligeait. Dès qu'il apercevait une place libre, il se
précipitait vers elle et s'y asseyait.
Je l'apercevais plus tard, devant la gare Saint-Lazare. Il se vêtait d'un pardessus et un camarade qui se
trouvait là lui faisait cette remarque : il fallait mettre un bouton supplémentaire.",jeune monsieur$long cou$place libre$bouton supplémentaire,jeune$monsieur$long$cou$place$libre$bouton$supplémentaire,jeune$monsieur$long$cou$place$libre$bouton$supplémentaire,jeune$Monsieur$long$cou$place$libre$bouton$supplémentaire
32,32,Alexandrins. ,"
Je vis un foutriquet de je ne sais quelle esPèce qui râlait bien qu'autour de son turban
Il y eût de la tresse en place de ruban.
Il râlait ce jeune homme à l'allure insipide,
Au col démesuré, à l'haleine putride,
Parce qu'un citoyen qui paraissait majeur
Le heurtait, disait-il, si quelque voyageur
Se hissait haletant et poursuivi par l'heure
Espérant déjeuner en sa chaste demeure.
Il n'y eut point d'esclandre et le triste quidam
Courut vers une place et s'assit sottement. Un jour, dans l'autobus qui porte la lettre S,Comme je retournais direction rive gauche
De nouveau j'aperçus ce personnage moche
Accompagné d'un zèbre, imbécile dandy,
Qui disait : «ce bouton faut pas le mettre icy.»",jeune homme$allure insipide$col démesuré$haleine putride$triste quidam,jeune$homme$allure$insipide$col$démesuré$haleine$putride$triste,jeune$homme$allure$insipide$col$démesuré$haleine$putride$triste$quidam,jeune$homme$allure$insipide$col$démesuré$haleine$putride$triste$quidam
33,33,Polyptotes. ,"Je montai dans un autobus plein de contribuables qui donnaient des sous à un contribuable qui avait sur
son ventre de contribuable une petite boîte qui contribuait à permettre aux autres contribuables de
continuer leur trajet de contribuables. Je remarquai dans cet autobus un contribuable au long cou de
contribuable et dont la tête de contribuable supportait un chapeau mou de contribuable ceint d'une tresse
comme jamais n'en porta contribuable. Soudain le dit contribuable interpelle un contribuable de voisin en
lui reprochant amèrement de lui marcher exprès sur ses pieds de contribuable chaque fois que d'autres
contribuables montaient ou descendaient de l'autobus pour contribuables. Puis le contribuable irrité alla
s'asseoir à la place pour contribuable que venait de laisser libre un autre contribuable. Quelques heures
de contribuable plus tard, je l'aperçus dans la cour pour contribuables de Rome, en compagnie d'un
contribuable qui lui donnait des conseils d'élégance de contribuable.",autres contribuables$autobus plein$petite boîte$long cou$chapeau mou,autres$contribuables$autobus$plein$petite$boîte$long$cou$chapeau$mou,contribuables$autobus$plein$petite$boîte$long$cou$chapeau$mou,autobus$plein$contribuable$petit$boîte$autre$contribuable$contribuable$autobus$long$cou$chapeau$mou$autre$contribuable$autobus$contribuable$contribuable
34,34,Aphérèses ,"Tai obus yageur. Marquai ne me tait ble lui rafe tzit avec lon sé. Ere tre tre geur chant cher eds que tait
dait de. La seoir ne ce tait bre.
Tournant ve che, çus chait ge vec mi nait seils ance trant mier ton essus. ",ge vec mi,mi,ge$vec$mi,ge$vec$mi
35,35,Apocopes,"Je mon dans un aut plein de voya. Je remar un jeu hom dont le cou é sembla à ce de la gira et qui por un cha a un ga tres. Il se mit en col con un au voya, lui repro de lui mar sur les pi cha fois qu’il mon ou descen du mon. Puis il al s’as car u pla é li. Re ri gau, je l’aper qui mar en long et en lar a un a qui lui don des con d’élég en lui mon le pre bou de son pard.",cou é$col con$é li$voya,cou$col$con$voya,cou$é$col$con$é$li$voya,voyer$cou$é$col$con$voyer$é$li$con
36,36,Syncopes,"Je mtai ds aubus plein dvyageurs. Je rarquai un jhomme au coublebleluirafe et au chapaltrés. Il se mit en
colcautre vyageur car il lui rechat de lui marpier. Puis il ocpa denue lbre.
En fant le mêmin en sinverse, je l’açus à Courome qui prait une lon d’égance àjet d’un bton.",,nan,nan,
37,37,Moi je.,"Moi je comprends ça : un type qui s'acharne à vous marcher sur les pinglots, ça vous fout en rogne. Mais après avoir protesté aller s'asseoir comme un péteux, moi, je comprends pas ça. Moi j'ai vu ça l'autre jour sur la plate-forme arrière d'un autobus S. Moi je lui trouvais le cou un peu long à ce jeune homme et aussi bien rigolote cette espèce de tresse qu'il avait autour de son chapeau. Moi jamais j'oserais me promener avec un couvre-chef pareil. Mais c'est comme je vous le dis, après avoir gueulé contre un autre voyageur qui lui marchait sur les pieds, ce type est allé s'asseoir sans plus. Moi, je lui aurais foutu une baffe à ce salaud qui m'aurait marché sur les pieds. Il y a des choses curieuses dans la vie, moi je vous le dis, il n'y a que les montagnes qui ne se rencontrent pas. Deux heures plus tard, moi je rencontre de nouveau ce garçon. Moi, je l'aperçois devant la gare Saint-Lazare. Moi, je le vois en compagnie d'un copain de sa sorte qui lui disait, moi je l'ai entendu : «tu devrais remonter ce bouton-là.» Moi, je l'ai bien vu, il désignait le bouton supérieur.",autre jour$plate-forme arrière$jeune homme$couvre-chef pareil$autre voyageur,autre$jour$plate-forme$arrière$jeune$homme$couvre-chef$pareil$autre$voyageur,jour$plate-forme$arrière$jeune$homme$couvre-chef$pareil$voyageur,autre$jour$arrière$jeune$homme$couvre-chef$pareil$autre$voyageur
38,38,Exclamations. ,"Tiens ! Midi ! temps de prendre l'autobus ! que de monde ! que de monde ! ce qu'on est serré ! marrant
!ce gars-là ! quelle trombine ! et quel cou ! soixante-quinze centimètres ! au moins ! et le galon ! le galon
!je n'avais pas vu ! le galon ! c'est le plus marant ! ça ! le galon ! autour de son chapeau !
Un galon ! marrant ! absolument marrant ! ça y est le voilà qui râle ! le type au galon ! contre un voisin !
qu'est-ce qu'il lui raconte ! l'autre ! lui aurait marché sur les pieds ! ils vont se fiche des gifles ! pour sür !
mais non ! mais si ! va h y ! va h y ! mords y l'œil ! fonce ! cogne ! mince alors ! mais non ! il se dégonfle
!le type ! au long cou ! au galon ! c'est sur une place vide qu'il fonce ! oui ! le gars ! eh bien ! vrai ! non ! je
ne me trompe pas ! c'est bien lui ! là-bas ! dans la Cour de Rome ! devant la gare Saint-Lazare ! qui se
balade en long et en large ! avec un autre type ! et qu'est-ce que l'autre lui raconte ! qu'il devrait ajouter un
bouton ! oui ! un bouton à son pardessus ! À son pardessus ! 
",soixante-quinze centimètres$long cou$place vide$autre type$galon,soixante-quinze$centimètres$long$cou$place$vide$autre$type$galon,soixante-quinze$centimètres$long$cou$place$vide$type$galon,cou$soixante-quinze$centimètre$galon$galon$galon$galon$galon$type$galon$autre$type$long$cou$galon$place$vide$long$autre$type$autre
39,39,Alors. ,"Alors l'autobus est arrivé. Alors j'ai monté dedans. Alors j'ai vu un citoyen qui m'a saisi l'œil. Alors j'ai vu
son long cou et j'ai vu la tresse qu'il y avait autour de son chapeau. Alors il s'est mis à pester contre son
voisin qui lui marchait alors sur les pieds. Alors, il est allé s'asseoir.
Alors, plus tard, je l'ai revu Cour de Rome. Alors il était avec un copain.
Alors, il lui disait, le copain : tu devrais faire mettre un autre bouton à ton pardessus. Alors. 
",long cou$autre bouton,long$cou$autre$bouton,long$cou$bouton,long$cou$autre$bouton
40,40,"Ampoulé. 
","À l'heure où commencent à se gercer les doigts roses de l'aurore, je montai tel un dard rapide dans un
autobus à la puissance stature et aux yeux de vache de la ligne S au trajet sinueux. Je remarquai, avec la
précision et l'acuité de l'Indien sur le sentier de la guerre, la présence d'un jeune homme dont le col était
plus long que celui de la girafe au pied rapide, et dont le chapeau de feutre mou fendu s'ornait d'une
tresse, tel le héros d'un exercice de style. La funeste Discorde aux seins de suie vint de sa bouche
empestée par un néant de dentifrice, la Discorde, dis-je, vint souffler son virus malin entre ce jeune
homme au col de girafe et à la tresse autour du chapeau, et un voyageur à la mine indécise et farineuse.
Celui-là s'adressa en ces termes à celui-ci : «Dites-donc, vous, on dirait que vous le faites exprès de me
marcher sur les pieds !» Ayant dit ces mots, le jeune homme au col de girafe et à la tresse autour du
chapeau s'alla vite asseoir.
Plus tard, dans la Cour de Rome aux majestueuses proportions, j'aperçus de nouveau le jeune homme au
cou de girafe et à la tresse autour du chapeau, accompagné d'un camarade arbitre des élégances qui
proférait cette critique que je pus entendre de mon oreille agile, critique adressée au vêtement le plus
extérieur du jeune homme au col de girafe et à la tresse autour du chapeau : «tu devrais en diminuer
l'échancrure par l'addition ou l'exhaussement d'un bouton à la périphérie circulaire.»",jeune homme$doigts roses$dard rapide$puissance stature$trajet sinueux,jeune$homme$doigts$roses$dard$rapide$puissance$stature$trajet$sinueux,jeune$homme$doigts$roses$dard$rapide$puissance$stature$trajet$sinueux,doigt$rose$dard$rapide$puissance$statur$trajet$sinueux$jeune$homme$rapide$jeune$homme$jeune$homme$jeune$homme$jeune$homme
41,41,"Vulgaire. 
","L'était un peu plus dmidi quand j'ai pu monter dans l'esse. Jmonte donc, jpaye ma place comme de bien
entendu et voilàtipas qu'alors jremarque un zozo l'air pied, avec un cou qu'on aurait dit un télescope et
une sorte de ficelle autour du galurin. Je lregarde passque jlui trouve l'air pied quand le voilàtipas qu'ismet
à interpeller son voisin. Dites-donc, qu'il lui fait, vous pourriez pas faire attention, qu'il ajoute, on dirait, qu'il
pleurniche, quvous lfaites essprais, qu'i bafouille, deummarcher toutltemps sullé panards, qu'i dit. Làdessus, tout fier de lui, il va s'asseoir. Comme un pied.
Jrepasse plus tard Cour de Rome et jl'aperçois qui discute le bout de gras avec autre zozo de son
espèce. Dis-donc, qu'i lui faisait l'autre, tu dvrais, qu'i lui disait, mettre un ottbouton, qu'il ajoutait, à ton
pardingue, qu'i concluait. ",air pied$i bafouille$autre zozo,air$pied$i$bafouille$autre$zozo,air$pied$bafouille$zozo,zozo$air$pied$air$pied$i$bafouille$i$pied$autre$zozo$i$autre$i$i
42,42,Interrogatoire. ,"- à quelle heure ce jour-là passa l'autobus de la ligne S de midi 23, direction
porte de Champerret ?
- à midi 38.
- Y avait-il beaucoup de monde dans l'autobus de la ligne S sus-désigné ?
- Des floppées.
- Qu'y remarquâtes-vous de particulier ?
- Un particulier qui avait un très long cou et une tresse autour de son chapeau.
- Son comportement était-il aussi singulier que sa mise et son anatomie ?
- Tout d'abord non ; il était normal, mais il finit par s'avérer être celui d'un cyclothymique paranoïaque
légèrement hypotendu dans un état d'irritabilité hypergastrique.
- Comment cela se traduisit-il ?
- Le particulier en question interpella son voisin sur un ton pleurnichard en lui demandant s'il ne faisait pas
exprès de lui marcher sur les pieds chaque fois qu'il montait ou descendait des voyageurs.
- Ce reproche était-il fondé ?
- Je l'ignore.
- Comme se termina cet incident ?
- Par la fuite précipitée du jeune homme qui alla occuper une place libre.
- Cet incident eut-il un rebondissement ?
- Moins de deux heures plus tard.
- En quoi consista ce rebondissement ?
- En la réapparition de cet individu sur mon chemin.
- Où et comment le revîtes-vous ?
- En passant en autobus devant la cour de Rome.
- Qu'y faisait-il ?
- Il prenait une consultation d'élégance. ",long cou$cyclothymique paranoïaque$jeune homme$place libre$deux heures,long$cou$cyclothymique$paranoïaque$jeune$homme$place$libre$deux$heures,long$cou$cyclothymique$paranoïaque$jeune$homme$place$libre$heures,long$cou$cyclothymique$paranoïaque$jeune$homme$place$libre$deux$heure
43,43,Comédie.,"Acte premier
Scène I
(Sur la plate-forme arrière d'un autobus S, un jour, vers midi.)
Le Receveur. -la monnaie, s'iou plaît. (Des voyageurs lui passent la monnaie.)
Scène II
(L'autobus s'arrête.)
Le Receveur. - laissons descendre. Priorités ? Une priorité ! C'est complet. Drelin, drelin, drelin.
Acte second
Scène I
(Même décor.)
Premier Voyageur (Jeune, long cou, une tresse autour du chapeau).
- On dirait, monsieur, que vous le faites exprès de me marcher sur les pieds chaque fois qu'il passe des
gens. Second Voyageur (hausse les épaules)
Scène II
(Un troisième voyageur descend.)
Premier Voyageur (s'adressant au public) : Chouette ! une place libre ! J'y cours. (Il se précipite dessus et
l'occupe.)
Acte troisième
Scène I
(La Cour de Rome.)
Un Jeune Élégant (au premier voyageur, maintenant piéton). -l'échancrure de ton pardessus est trop
large. Tu devrais la fermer un peu en faisant remonter le bouton du haut.
Scène II
(À bord d'un autobus S passant devant la cour de Rome.)
Quatrième Voyageur. -Tiens, le type qui se trouvait tout à l'heure avec moi dans l'autobus et qui
s'engueulait avec un bonhomme. Curieuse rencontre. J'en ferai une comédie en trois actes et en prose.",drelin$scène ii$premier voyageur$acte premier scène i$plate-forme arrière,drelin$scène$ii$premier$voyageur$acte$premier$scène$i$plate-forme$arrière,drelin$scène$ii$voyageur$acte$scène$plate-forme$arrière,premier$arrière$drelin$drelin$voyageur$premier$voyageur
44,44,Apartés. ,"L'autobus arriva tout gonflé de voyageurs. Pourvu que je ne le rate pas, veine il y a encore une place pour
moi. L'un d'eux il en a une drôle de tirelire avec son cou démesuré portait un chapeau de feutre mou
entouré d'une sorte de cordelette à la place de ruban ce que ça a l'air prétentieux et soudain se mit tiens
qu'est-ce qui lui prend à vitupérer un voisin l'autre fait pas attention à ce qu'il lui raconte auquel il
reprochait de lui marcher exprès a l'air de chercher la bagarre, mais il se dégonflera sur les pieds. Mais
comme une place était libre à l'intérieur qu'est-ce que je disais il tourna le dos et courut l'occuper.
Deux heures plus tard environ, c'est curieux les coïncidences il se trouvait cour de Rome en compagnie
d'un ami un michet de son espèce qui lui désignait de l'index un bouton de son pardessus qu'est-ce qu'il
peut bien lui raconter ? ",place$cou démesuré$feutre mou$air prétentieux$deux heures,place$cou$démesuré$feutre$mou$air$prétentieux$deux$heures,place$cou$démesuré$feutre$mou$air$prétentieux$heures,place$cou$démesuré$feutre$mou$place$air$prétentieux$air$place$heure
45,45,Paréchèses. ,"Sur la tribune bustérieure d'un bus qui transhabutait vers un but peu bucolique des bureaucrates abutis,
un burlesque funambule à la buccule loin de buste et au gibus sans buran, fit brusquement du grabuge
contre un burgrave qui le bousculait: « Butor! y a de l'abus! » S'attribuant un taburet, il s'y culbuta tel un
obus dans une cambuse.
Bultérieurement, en un conciliabule, il butinait cette stibulation: « Buse! ce globuleux buton buche mal ton
burnous!» 
",burlesque funambule$globuleux buton buche,burlesque$funambule$globuleux$buton$buche,burlesque$funambule$globuleux$buton$buche,burlesque$funambul$globuleux$buton$buche
46,46,"Fantomatique. 
","Nous, garde-chasse de la Plaine-Monceau, avons l'honneur de rendre compte de l'inexplicable et maligne
présence dans le voisinage de la porte orientale du parc de S. A. R. Monseigneur Philippe le sacré duc
d'Orléans, ce jour d'huy seize de mai mille sept cent quatre-vingt-trois, d'un chapeau mou de forme
inhabituelle et entouré d'une sorte de galon tressé. Conséquemment nous constatâmes l'apparition
soudaine sous le dit chapeau d'un homme jeune, pourvu d'un cou d'une longueur extraordinaire et vêtu
comme on se vêt sans doute à la
Chine. L'effroyable aspect de ce quidam nous glaça les sangs et prévint notre fuite. Ce quidam demeura
quelques instants immobile, puis s'agita en grommelant comme s'il repoussait le voisinage d'autres
quidams invisibles mais à lui sensibles. Soudain son attention se porta vers son manteau et nous
l'entendîmes qui murmurait comme suit : «il manque un bouton, il manque un bouton». Il se mit alors en
route et prit la direction de la Pépinière. Attiré malgré nous par l'étrangeté de ce phénomène, nous le
suivîmes hors des limites attribuées à notre juridiction et nous atteignîmes nous trois le quidam et le
chapeau un jardinet désert mais planté de salades. Une plaque bleue d'origine inconnue mais
certainement diabolique portait l'inscription «Cour de Rome». Le quidam s'agita quelques moments
encore en murmurant : «Il a voulu me marcher sur les pieds.» il disparut alors, lui d'abord et quelque
temps après son chapeau. Après avoir dressé procès-verbal de cette liquidation, j'allai boire chopine à la
Petite-Pologne. ",maligne présence$monseigneur philippe$sacré duc$huy seize$mai mille sept cent,maligne$présence$monseigneur$philippe$sacré$huy$seize$mai$mille$sept$cent,maligne$présence$monseigneur$philippe$sacré$duc$huy$mai,maligne$présence$sacrer$duc$huy$seize$mai$mille$sept$cent
47,47,Philosophique,"Les grandes villes seules peuvent présenter à la spiritualité phénoménologique les essentialités des
coïncidences temporelles et improbabilistes. Le philosophe qui monte parfois dans l'inexistentialité futile et
outilitaire d'un autobus S y peut apercevoir avec la lucidité de son œil pinéal les apparences fugitives et
décolorées d'une conscience profane affligée du long cou de la vanité et de la tresse chapeautière de
l'ignorance. Cette matière sans entéléchie véritable se lance parfois dans l'impératif catégorique de son
élan vital et récriminatoire contre l'irréalité néoberkeleyienne d'un mécanisme corporel inalourdi de
conscience. Cette attitude morale entraîne alors le plus inconscient des deux vers une spatialité vide où il
se décompose en ses éléments premiers et crochus.
La recherche philosophique se poursuit normalement par la rencontre fortuite mais anagogique du même
être accompagné de sa réplique inessentielle et couturière, laquelle lui conseille nouménalement de
transposer sur le plan de l'entendement le concept de bouton de pardessus situé sociologiquement trop
bas. ",grandes villes seules$spiritualité phénoménologique$coïncidences temporelles$apparences fugitives$conscience profane,grandes$villes$seules$spiritualité$phénoménologique$coïncidences$temporelles$apparences$fugitives$conscience$profane,grandes$villes$spiritualité$phénoménologique$coïncidences$temporelles$apparences$fugitives$conscience$profane,grand$ville$seul$spiritualité$phénoménologique$coïncidence$temporel$apparence$fugitif$conscience$profane$conscience
48,48,Apostrophe. ,"O stylographe à la plume de platine, que ta course rapide et sans heurt trace sur le papier au dos satiné
les glyphes alphabétiques qui transmettront aux hommes aux lunettes étincelantes le récit narcissique
d'une double rencontre à la cause autobusilistique. Fier coursier de mes rêves, fidèle chameau de mes
exploits littéraires, svelte fontaine de mots comptés, pesés et choisis, décris les courbes lexicographiques
et syntactiques qui formeront graphiquement la narration futile et dérisoire des faits et gestes de ce jeune
homme qui prit un jour l'autobus S sans se douter qu'il deviendrait le héros immortel de mes laborieux
travaux d'écrivain. Freluquet au long cou surplombé d'un chapeau cerné d'un galon tressé, roquet rageur,
rouspéteur et sans courage qui fuyant la bagarre allas poser ton derrière moissonneur de coups de pieds
au cul sur une banquette en bois durci, soupçonnais-tu cette destinée rhétorique lorsque devant la gare
Saint-Lazare tu écoutais d'une oreille exaltée les conseils de tailleur d'un personnage qu'inspirait le
bouton supérieur de ton pardessus ? ",o stylographe$course rapide$heurt trace$glyphes alphabétiques$lunettes étincelantes,o$stylographe$course$rapide$heurt$trace$glyphes$alphabétiques$lunettes$étincelantes,stylographe$course$rapide$heurt$trace$glyphes$alphabétiques$lunettes$étincelantes,stylographe$course$rapide$heurt$trace$glyphe$alphabétique$lunette$étincelant
49,49,Maladroit. ,"Je n'ai pas l'habitude d'écrire. Je ne sais pas. J'aimerais bien écrire une tragédie ou un sonnet ou une
ode, mais il y a les règles. Ça me gêne. C'est pas fait pour les amateurs. Tout ça c'est déjà bien mal écrit.
Enfin. En tout cas, j'ai vu aujourd'hui quelque chose que je voudrais bien coucher par écrit.
Coucher par écrit ne me paraît pas bien fameux. ça doit être une de ces expressions toutes faites qui
rebutent les lecteurs qui lisent pour les éditeurs qui recherchent l'originalité qui leur paraît nécessaire dans
les manuscrits que les éditeurs publient lorsqu'ils ont été lus par les lecteurs que rebutent les expressions
toutes faites dans le genre de « coucher par écrit » qui est pourtant ce que je voudrais faire de quelque
chose que j'ai vu aujourd'hui bien que je ne sois qu'un amateur que gênent les règles de la tragédie du
sonnet ou de l'ode car je n'ai pas l'habitude d'écrire. Merde, je ne sais pas comment j'ai fait mais me voilà
revenu tout au début. Je ne vais jamais en sortir. Tant pis. Prenons le taureau par les cornes. Encore une
platitude. Et puis ce gars-là n'avait rien d'un taureau. Tiens, elle n'est pas mauvaise celle-là. Si j'écrivais :
prenons le godelureau par la tresse de son chapeau de feutre mou emmanché d'un long cou, peut-être
bien que ce serait original. Peut-être bien que ça me ferait connaître des messieurs de l'Académie
française, du Flore et de la rue Sébastien-Bottin. Pourquoi ne ferais-je pas de progrès après tout. C'est en
écrivant qu'on devient écriveron. Elle est forte celle-là. Tout de même faut de la mesure. Le type sur la
plate-forme de l'autobus, il en manquait quand il s'est mis à engueuler son voisin sous prétexte que ce
dernier lui marchait sur les pieds chaque fois qu'il se tassait pour laisser monter ou descendre des
voyageurs. D'autant plus qu'après avoir protesté comme cela, il est allé vite s'asseoir dès qu'il a vu une
place libre à l'intérieur comme s'il craignait les coups. Tiens j'ai déjà raconté la moitié de mon histoire. Je
me demande comment j'ai fait. C'est tout de même agréable d'écrire. Mais il reste le plus difficile. Le plus
calé. La transition. D'autant plus qu'il n'y a pas de transition. Je préfère m'arrêter. 
",aujourd hui$feutre mou$long cou$académie française$place libre,aujourd$hui$feutre$mou$long$cou$académie$place$libre,aujourd$feutre$mou$long$cou$académie$française$place$libre,feutre$mou$long$cou$français$place$libre
50,50,"Désinvolte. 
","I.
Je monte dans le bus.
- C'est bien pour la porte Champerret ?
- Vous savez donc pas lire ?
- Excuses. Il moud mes tickets sur son ventre.
- Voilà.
- Merci. Je regarde autour de moi.
- Dites donc, vous. Il a une sorte de galon autour de son chapeau.
- Vous pourriez pas faire attention ? Il a un très long cou.
- Non mais dites donc. Le voilà qui se précipite sur une place libre.
- Eh bien. Je me dis ça.
II.
Je monte dans le bus.
- C'est bien pour la place de la Contrescarpe ?
- Vous savez donc pas lire ?
- Excuses. Son orgue de Barbarie fonctionne et il me rend mes tickets avec un
petit air dessus.
- Voilà.
- Merci. On passe devant la gare Saint-Lazare.
- Tiens le type de tout à l'heure. Je penche mon oreille.
- Tu devrais faire mettre un autre bouton à ton pardessus. Il lui montre où.
- Il est trop échancré ton pardessus. Ça c'est vrai.
- Eh bien. Je me dis ça. 
",place$long cou$place libre$petit air dessus$autre bouton,place$long$cou$place$libre$petit$air$dessus$autre$bouton,place$long$cou$place$libre$petit$air$bouton,long$cou$place$libre$place$petit$air$dessus$autre$bouton
51,51,Partial. ,"Après une attente démesurée l'autobus enfin tourna le coin de la rue et vint freiner le long du trottoir.
Quelques personnes descendirent, quelques autres montèrent : j'étais de celles-ci. On me asse sur la
plate-forme, le receveur tira véhémentement sur une chasse de bruit et le véhicule repartit. Tout en
découpant dans un carnet le nombre de tickets que l'homme à la petite boîte allait oblitérer sur son ventre,
je me mis à inspecter mes voisins. Rien que des voisins. Pas de femmes. Un regard désintéressé alors.
Je découvris bientôt la crème de cette boue circonscrivante : un garçon d'une vingtaine d'années qui
portait une petite tête sur un long cou et un grand chapeau sur sa petite tête
et une petite tresse coquine autour de son grand chapeau.
Quel pauvre type, me dis-je.
Ce n'était pas seulement un pauvre type, c'était un méchant. Il se poussa du côté de l'indignation en
accusant un bourgeois quelconque de lui laminer les pieds à chaque passage de voyageurs, montants ou
descendants. L'autre le regarda d'un œil sévère, cherchant une réplique farouche dans le répertoire tout
préparé qu'il devait trimbaler à travers les diverses circonstances de la vie, mais ce jour-là il ne se
retrouvait pas dans son classement. Quant au jeune homme, craignant une paire de gifles, il profita de la
soudaine liberté d'une place assise pour se précipiter sur celle-ci et s'y asseoir.
Je descendis avant lui et ne pus continuer à observer son comportement. Je le destinais à l'oubli lorsque,
deux heures plus tard, moi dans l'autobus, lui sur le trottoir, je le revis cour de Rome, toujours aussi
lamentable.
Il marchait de long en large en compagnie d'un camarade qui devait être son maître d'élégance et qui lui
conseillait, avec une pédanterie dandyesque, de faire diminuer l'échancrure de son pardessus en y faisant
adjoindre un bouton supplémentaire.
Quel pauvre type, me dis-je.
Puis nous deux mon autobus, nous continuâmes notre chemin.",pauvre type$petite tête$grand chapeau$petite boîte$long cou,pauvre$type$petite$tête$grand$chapeau$petite$boîte$long$cou,pauvre$type$petite$tête$grand$chapeau$petite$boîte$long$cou,long$petit$boîte$petit$tête$long$cou$grand$chapeau$petit$tête$petit$grand$chapeau$pauvre$type$pauvre$type$long$pauvre$type
52,52,Sonnet.,"Glabre de la vaisselle et tressé du bonnet,
Un paltoquet chétif au cou mélancolique
Et long se préparait, quotidienne colique.
À prendre un autobus le plus souvent complet.
L'un vint, c'était un dix ou bien peut-être un S.
La plate-forme, hochet adjoint au véhicule,
Trimbalait une foule en son sein minuscule
Où des richards pervers allumaient des londrès
Le jeune girafeau, cité première strophe,
Grimpé sur cette planche entreprend un péquin
Lequel, proclame-t-il, voulait sa catastrophe,
Pour sortir du pétrin bigle une place assise
Et s'y met. Le temps passe. Au retour un faquin
À propos d'un bouton examinait sa mise. 
",paltoquet chétif$cou mélancolique$quotidienne colique$plate-forme hochet$sein minuscule,paltoquet$chétif$cou$mélancolique$quotidienne$colique$plate-forme$hochet$sein$minuscule,paltoquet$chétif$cou$mélancolique$quotidienne$colique$plate-forme$hochet$sein$minuscule,paltoquet$chétif$cou$mélancolique$quotidien$colique$hochet$sein$minuscule
